"Time","Population","Curve_ID"
0,1.5,1
1,1.5,1
2,1.5,1
3,1.5,1
4,1.5,1
5,1.5,1
6,1.5,1
7,1.5,1
8,1.5,1
9,1.5,1
10,1.5,1
11,1.5,1
12,1.5,1
13,1.5,1
14,2.37564424202673,1
15,3.75427957076603,1
16,5.91261907609957,1
17,9.26162434657077,1
18,14.38563093781,1
19,22.0547345559674,1
20,33.1474031534958,1
21,48.3738251577091,1
22,67.6991139818247,1
23,89.6018051236398,1
24,110.875880890418,1
25,127.928521497247,1
26,139.028158866939,1
27,145.024581926783,1
28,147.861071458422,1
29,149.104326153915,1
30,149.62931505355,1
31,149.847352768063,1
32,149.937271048262,1
33,149.974244297278,1
34,149.98942878237,1
35,149.995661761151,1
36,149.99821977058,1
37,149.999269487173,1
38,149.999700238847,1
39,149.999876995482,1
40,149.999949526196,1
41,149.99997928854,1
42,149.999991501246,1
43,149.999996512616,1
44,149.999998568985,1
45,149.999999412796,1
46,149.999999759047,1
47,149.999999901127,1
48,149.999999959428,1
49,149.999999983352,1
50,149.999999993169,1
51,149.999999997197,1
52,149.99999999885,1
53,149.999999999528,1
54,149.999999999806,1
55,149.999999999921,1
56,149.999999999967,1
57,149.999999999987,1
58,149.999999999995,1
59,149.999999999998,1
60,149.999999999999,1
61,150,1
62,150,1
63,150,1
64,150,1
65,150,1
66,150,1
67,150,1
68,150,1
69,150,1
70,150,1
71,150,1
72,150,1
73,150,1
74,150,1
75,150,1
76,150,1
77,150,1
78,150,1
79,150,1
80,150,1
81,150,1
82,150,1
83,150,1
84,150,1
85,150,1
86,150,1
87,150,1
88,150,1
89,150,1
90,150,1
91,150,1
92,150,1
93,150,1
94,150,1
95,150,1
96,150,1
97,150,1
98,150,1
99,150,1
100,150,1
0,5,2
1,5,2
2,5,2
3,5,2
4,5,2
5,5,2
6,5,2
7,9.78527295595035,2
8,19.0597794764131,2
9,36.7829118713621,2
10,69.7258394012472,2
11,127.731520333012,2
12,219.667574276531,2
13,338.728923937777,2
14,444.34749275204,2
15,492.159720652554,2
16,499.62024094756,2
17,499.987083470508,2
18,499.999569838699,2
19,499.999985684652,2
20,499.999999523611,2
21,499.999999984147,2
22,499.999999999472,2
23,499.999999999982,2
24,499.999999999999,2
25,500,2
26,500,2
27,500,2
28,500,2
29,500,2
30,500,2
31,500,2
32,500,2
33,500,2
34,500,2
35,500,2
36,500,2
37,500,2
38,500,2
39,500,2
40,500,2
41,500,2
42,500,2
43,500,2
44,500,2
45,500,2
46,500,2
47,500,2
48,500,2
49,500,2
50,500,2
51,500,2
52,500,2
53,500,2
54,500,2
55,500,2
56,500,2
57,500,2
58,500,2
59,500,2
60,500,2
61,500,2
62,500,2
63,500,2
64,500,2
65,500,2
66,500,2
67,500,2
68,500,2
69,500,2
70,500,2
71,500,2
72,500,2
73,500,2
74,500,2
75,500,2
76,500,2
77,500,2
78,500,2
79,500,2
80,500,2
81,500,2
82,500,2
83,500,2
84,500,2
85,500,2
86,500,2
87,500,2
88,500,2
89,500,2
90,500,2
91,500,2
92,500,2
93,500,2
94,500,2
95,500,2
96,500,2
97,500,2
98,500,2
99,500,2
100,500,2
0,0.5,3
1,0.5,3
2,0.5,3
3,0.5,3
4,0.5,3
5,0.5,3
6,0.5,3
7,0.5,3
8,0.5,3
9,0.5,3
10,0.5,3
11,0.887393723966437,3
12,1.56955444935061,3
13,2.75934969230261,3
14,4.79967767947383,3
15,8.19539072058794,3
16,13.5579389322079,3
17,21.2914014027178,3
18,30.8587944952521,3
19,40.1041926645781,3
20,46.3160058551617,3
21,48.9867200134433,3
22,49.7636559390912,3
23,49.9477476989478,3
24,49.9885983240908,3
25,49.9975193957677,3
26,49.9994606540212,3
27,49.9998827489574,3
28,49.9999745110009,3
29,49.9999944590277,3
30,49.9999987954674,3
31,49.999999738151,3
32,49.9999999430776,3
33,49.9999999876258,3
34,49.99999999731,3
35,49.9999999994152,3
36,49.9999999998729,3
37,49.9999999999724,3
38,49.999999999994,3
39,49.9999999999987,3
40,49.9999999999997,3
41,49.9999999999999,3
42,50,3
43,50,3
44,50,3
45,50,3
46,50,3
47,50,3
48,50,3
49,50,3
50,50,3
51,50,3
52,50,3
53,50,3
54,50,3
55,50,3
56,50,3
57,50,3
58,50,3
59,50,3
60,50,3
61,50,3
62,50,3
63,50,3
64,50,3
65,50,3
66,50,3
67,50,3
68,50,3
69,50,3
70,50,3
71,50,3
72,50,3
73,50,3
74,50,3
75,50,3
76,50,3
77,50,3
78,50,3
79,50,3
80,50,3
81,50,3
82,50,3
83,50,3
84,50,3
85,50,3
86,50,3
87,50,3
88,50,3
89,50,3
90,50,3
91,50,3
92,50,3
93,50,3
94,50,3
95,50,3
96,50,3
97,50,3
98,50,3
99,50,3
100,50,3
0,5,4
1,5,4
2,5,4
3,5,4
4,5,4
5,5,4
6,5,4
7,5,4
8,5,4
9,5,4
10,5,4
